0.5609 <- ,  --- 10:29:49
0.5653 <- ,  --- 10:29:49
0.5691 <- ,  --- 10:29:49
0.5732 <- ,  --- 10:29:49
0.577 <- ,  --- 10:29:49
0.5808 <- ,  --- 10:29:49
0.5845 <- ,  --- 10:29:49
0.5906 <- ,  --- 10:29:49
0.5947 <- ,  --- 10:29:49
0.6278 <- ,  --- 10:29:49
0.6472 <- ,  --- 10:29:49
0.6639 <- ,  --- 10:29:49
0.683 <- ,  --- 10:29:49
0.7007 <- ,  --- 10:29:49
0.9646 <- GLOBAL_1,  --- 10:29:49
0.6669 <- ,  --- 10:29:51
0.6442 <- ,  --- 10:29:51
0.6991 <- ,  --- 10:29:51
0.6552 <- ,  --- 10:29:51
0.7165 <- ,  --- 10:29:51
0.6966 <- ,  --- 10:29:51
0.7113 <- ,  --- 10:29:51
0.7329 <- ,  --- 10:29:51
0.6893 <- ,  --- 10:29:51
0.7189 <- ,  --- 10:29:51
0.7018 <- ,  --- 10:29:51
0.7324 <- ,  --- 10:29:51
0.7182 <- ,  --- 10:29:51
0.7689 <- ,  --- 10:29:51
0.748 <- ,  --- 10:29:51
0.7334 <- ,  --- 10:29:51
0.7627 <- ,  --- 10:29:51
0.7969 <- ,  --- 10:29:51
0.7753 <- ,  --- 10:29:51
0.7529 <- ,  --- 10:29:51
0.7891 <- ,  --- 10:29:51
0.7697 <- ,  --- 10:29:51
0.8205 <- ,  --- 10:29:51
0.7788 <- ,  --- 10:29:51
0.833 <- ,  --- 10:29:51

0.7867 <- ,  --- 10:29:51
0.812 <- ,  --- 10:29:51
0.8402 <- ,  --- 10:29:51
0.7937 <- ,  --- 10:29:51
0.8505 <- ,  --- 10:29:51
0.8192 <- ,  --- 10:29:51
0.8039 <- ,  --- 10:29:51
0.8575 <- ,  --- 10:29:51
0.8221 <- ,  --- 10:29:51
0.8768 <- ,  --- 10:29:51
0.8857 <- ,  --- 10:29:51
0.8704 <- ,  --- 10:29:51
0.7858 <- ,  --- 10:29:51
0.9226 <- ,  --- 10:29:51
